from,to,relation,time,duration
LuiWei,Jud,4,99,99
IsrWei,Haig,4,99,99
LuiWei,Haig,4,99,99
IsrWei,There,4,1942,1
LuiWei,There,4,1942,1
IsrWei,Treb,4,1942,1
LuiWei,Treb,4,1942,1
LydWei,Arg,9,99,6
FanWei,Arg,9,99,6
OlgWei,USA,9,99,6
DavWei,USA,9,99,6
PauWei,USA,9,99,6
SieWei,Eng,9,99,6
HelWei,Pal,9,99,6
EriWei,Neu,3,99,7
